1248  40 202 211   60.1   19.9 Aland Islands
1004  74 149  24   34.5   69.2 Afghanistan
1008  97 118  21   41.3   19.8 Albania
1012 108 210 109   36.8    3.0 Algeria
1016 160 207 154  -14.3 -170.7 American Samoa
1020 148   7 229   42.5    1.5 Andorra
1024 152 205 143   -8.8   13.2 Angola
1660 132 111 232   18.2  -63.1 Anguilla
2000 172 233 237  -60.5  -45.7 Antarctica
1028  13 122 240   17.7  -61.8 Antigua and Barbuda
1032 194 212 114  -34.6  -58.4 Argentina
1051  27  77 246   40.2   44.5 Armenia
1533  72  75 135   12.5  -70.0 Aruba
1036   6 133 216  -35.3  149.1 Australia
1040  65  78  85   48.2   16.4 Austria
1031 217 248 244   40.4   49.9 Azerbaijan
1044  87  51  15   25.1  -77.3 Bahamas
1048 162 168 145   26.2   50.6 Bahrain
1096 143  79  54    4.9  114.9 Brunei
2001  65  45 210    0.2 -176.5 Baker Island
1050  19  72 196   23.7   90.4 Bangladesh
1052 104  52 166   13.1  -59.6 Barbados
1112  83 136 227   53.9   27.6 Belarus
1056 145  22  55   50.9    4.3 Belgium
1084 184  62 232   17.2  -88.8 Belize
1204 133  95 100    6.5    2.6 Benin
1060 158  64 137   32.3  -64.8 Bermuda
1064  67  23 229   27.5   89.6 Bhutan
1068 230 125  25  -19.0  -65.3 Bolivia
2002 213  91 129   17.6  -63.2 Bonaire, Saint Eustatius and Saba
1070 211  89  57   43.8   18.4 Bosnia and Herzegovina
1072 229 196  60  -24.7   25.9 Botswana
2003  88  39  45  -54.4    3.4 Bouvet Island
1076 112 104 226  -15.8  -47.9 Brazil
2004 226  34 204   -5.2   72.0 British Indian Ocean Territory
1092  53 175   2   18.4  -64.6 British Virgin Islands
1100 183 148 147   42.7   23.3 Bulgaria
1854 249  59 198   12.4   -1.5 Burkina Faso
1104 161  17 150   19.7   96.1 Myanmar
1108 182 144  15   -3.4   29.4 Burundi
1116  97 243 234   11.6  104.9 Cambodia
1120  92 148 221    3.9   11.5 Cameroon
1124 142 127 100   45.4  -75.7 Canada
1132   8 221 217   14.9  -23.5 Cape Verde
1136  54 229 192   19.3  -81.4 Cayman Islands
1140  39 235  43    4.4   18.6 Central African Republic
1148 128 115 207   12.1   15.0 Chad
1152 227 173 132  -33.5  -70.6 Chile
1156  42 233  56   39.9  116.4 China
1162 162  54  25  -10.4  105.7 Christmas Island
2005 216 125 243   10.3 -109.2 Clipperton Island
1166 109  64 213  -12.2   96.8 Cocos Islands
1170  22  86 242    4.6  -74.1 Colombia
1174 211 213 249  -11.7   43.3 Comoros
1178 180 254 187   -4.3   15.3 Republic of the Congo
1180 155 129  92   -4.3   15.3 Democratic Republic of the Congo
1184  81 119  90  -21.2 -159.8 Cook Islands
1188 111  75 149    9.9  -84.1 Costa Rica
1191 185 156 175   45.8   16.0 Croatia
1192  88  18 210   23.1  -82.4 Cuba
1531 110 228 181   12.1  -68.9 Curacao
1196 216  36   9   35.2   33.4 Cyprus
1203 106 202 188   50.1   14.4 Czechia
1384 149 225  56    6.8   -5.3 Ivory Coast
1208 195 233 206   55.7   12.6 Denmark
1262 136  23 223   11.6   43.1 Djibouti
1212 246 201 242   15.3  -61.4 Dominica
1214  87 163 234   18.5  -70.0 Dominican Republic
1218   0 107  97   -0.2  -78.5 Ecuador
1818 108 181  13   30.1   31.2 Egypt
1222 114 121 214   13.7  -89.2 El Salvador
1226 193 135 215    3.8    8.8 Equatorial Guinea
1232  32 178 136   15.3   38.9 Eritrea
1233  11 120  38   59.4   24.8 Estonia
1231  16  49 105    9.0   38.7 Ethiopia
1260 128  45 155  -49.4   70.2 French Southern Territories
1238  18  56  12  -51.7  -57.9 Falkland Islands
1234 166 144  75   62.0   -6.8 Faroe Islands
2006 236  50  23   11.7  162.2 Federated States of Micronesia
1242 146   5 180  -18.1  178.4 Fiji
1246 249 178 140   60.2   24.9 Finland
1250 177 132 248   48.9    2.3 France
1254 194  70 177    4.9  -52.3 French Guiana
1258  24  66 179  -17.5 -149.6 French Polynesia
1266 118 232 253    0.4    9.5 Gabon
1270 174 133 224   13.5  -16.6 Gambia
1275  84 202  62   31.8   35.2 Palestinian Territory
1268  39 234 116   41.7   44.8 Georgia
1276 225 250  94   52.5   13.4 Germany
1288 210  93 222    5.6   -0.2 Ghana
1292  27 225  20   36.1   -5.4 Gibraltar
1300 138  88 211   38.0   23.7 Greece
1304 184 155  70   64.2  -51.7 Greenland
2007 132  27 241   12.5  -61.4 Grenada
1312 181 119 147   16.0  -61.7 Guadeloupe
1316  56 210  98   13.5  144.7 Guam
1320  17 164  79   14.6  -90.5 Guatemala
2008 171 196 238   49.5   -2.5 Guernsey
1324   3 203 204    9.5  -13.7 Guinea
1624  21 190 135   11.9  -15.6 Guinea-Bissau
1328  18 113 131    6.8  -58.2 Guyana
1332 119  64 183   18.5  -72.3 Haiti
2009  67 187 249  -52.9   73.6 Heard Island and McDonald Islands
1340 122 154 247   14.1  -87.2 Honduras
1344 111  12 160   22.3  114.2 Hong Kong
2010 114  94 121    0.8 -176.6 Howland Island
1348 166 226  61   47.5   19.0 Hungary
1352 226 164 184   64.1  -21.9 Iceland
1356 141 215  63   28.6   77.2 India
1360 106 201  61   -6.2  106.8 Indonesia
1364 182 115 215   35.7   51.4 Iran
1368 249 219 141   33.3   44.4 Iraq
1372 236 224 163   53.3   -6.2 Ireland
1833  86 227  52   54.1   -4.5 Isle of Man
1376 211  68 165   31.8   35.2 Israel
1380 183  12 151   41.9   12.5 Italy
1388  18 162 140   18.0  -76.8 Jamaica
1392 243 106 249   35.7  139.7 Japan
2011 158 154 144   -0.4 -160.0 Jarvis Island
1832 211  26 175   49.2   -2.1 Jersey
2012 137 189 148   16.7 -169.5 Johnston Atoll
